Sr. No.,Symbol,CompanyName,Name
1,RELIANCE,Reliance Industries Limited,RELIANCE | Reliance Industries Limited
2,TCS,Tata Consultancy Services Limited,TCS | Tata Consultancy Services Limited
3,HDFCBANK,HDFC Bank Limited,HDFCBANK | HDFC Bank Limited
4,ICICIBANK,ICICI Bank Limited,ICICIBANK | ICICI Bank Limited
5,BHARTIARTL,Bharti Airtel Limited,BHARTIARTL | Bharti Airtel Limited
6,SBIN,State Bank of India,SBIN | State Bank of India
7,INFY,Infosys Limited,INFY | Infosys Limited
8,LICI,Life Insurance Corporation Of India,LICI | Life Insurance Corporation Of India
9,ITC,ITC Limited,ITC | ITC Limited
10,HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR | Hindustan Unilever Limited
11,LT,Larsen & Toubro Limited,LT | Larsen & Toubro Limited
12,BAJFINANCE,Bajaj Finance Limited,BAJFINANCE | Bajaj Finance Limited
13,HCLTECH,HCL Technologies Limited,HCLTECH | HCL Technologies Limited
14,MARUTI,Maruti Suzuki India Limited,MARUTI | Maruti Suzuki India Limited
15,SUNPHARMA,Sun Pharmaceutical Industries Limited,SUNPHARMA | Sun Pharmaceutical Industries Limited
16,ADANIENT,Adani Enterprises Limited,ADANIENT | Adani Enterprises Limited
17,KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK | Kotak Mahindra Bank Limited
18,TITAN,Titan Company Limited,TITAN | Titan Company Limited
19,ONGC,Oil & Natural Gas Corporation Limited,ONGC | Oil & Natural Gas Corporation Limited
20,TATAMOTORS,Tata Motors Limited,TATAMOTORS | Tata Motors Limited
21,NTPC,NTPC Limited,NTPC | NTPC Limited
22,AXISBANK,Axis Bank Limited,AXISBANK | Axis Bank Limited
23,DMART,Avenue Supermarts Limited,DMART | Avenue Supermarts Limited
24,ADANIGREEN,Adani Green Energy Limited,ADANIGREEN | Adani Green Energy Limited
25,ADANIPORTS,Adani Ports and Special Economic Zone Limited,ADANIPORTS | Adani Ports and Special Economic Zone Limited
26,ULTRACEMCO,UltraTech Cement Limited,ULTRACEMCO | UltraTech Cement Limited
27,ASIANPAINT,Asian Paints Limited,ASIANPAINT | Asian Paints Limited
28,COALINDIA,Coal India Limited,COALINDIA | Coal India Limited
29,BAJAJFINSV,Bajaj Finserv Limited,BAJAJFINSV | Bajaj Finserv Limited
30,BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO | Bajaj Auto Limited
31,POWERGRID,Power Grid Corporation of India Limited,POWERGRID | Power Grid Corporation of India Limited
32,NESTLEIND,Nestle India Limited,NESTLEIND | Nestle India Limited
33,WIPRO,Wipro Limited,WIPRO | Wipro Limited
34,M&M,Mahindra & Mahindra Limited,M&M | Mahindra & Mahindra Limited
35,IOC,Indian Oil Corporation Limited,IOC | Indian Oil Corporation Limited
36,JIOFIN,Jio Financial Services Limited,JIOFIN | Jio Financial Services Limited
37,HAL,Hindustan Aeronautics Limited,HAL | Hindustan Aeronautics Limited
38,DLF,DLF Limited,DLF | DLF Limited
39,ADANIPOWER,Adani Power Limited,ADANIPOWER | Adani Power Limited
40,JSWSTEEL,JSW Steel Limited,JSWSTEEL | JSW Steel Limited
41,TATASTEEL,Tata Steel Limited,TATASTEEL | Tata Steel Limited
42,SIEMENS,Siemens Limited,SIEMENS | Siemens Limited
43,IRFC,Indian Railway Finance Corporation Limited,IRFC | Indian Railway Finance Corporation Limited
44,VBL,Varun Beverages Limited,VBL | Varun Beverages Limited
45,ZOMATO,Zomato Limited,ZOMATO | Zomato Limited
46,PIDILITIND,Pidilite Industries Limited,PIDILITIND | Pidilite Industries Limited
47,GRASIM,Grasim Industries Limited,GRASIM | Grasim Industries Limited
48,SBILIFE,SBI Life Insurance Company Limited,SBILIFE | SBI Life Insurance Company Limited
49,BEL,Bharat Electronics Limited,BEL | Bharat Electronics Limited
50,LTIM,LTIMindtree Limited,LTIM | LTIMindtree Limited
51,TRENT,Trent Limited,TRENT | Trent Limited
52,PNB,Punjab National Bank,PNB | Punjab National Bank
53,INDIGO,InterGlobe Aviation Limited,INDIGO | InterGlobe Aviation Limited
54,BANKBARODA,Bank of Baroda,BANKBARODA | Bank of Baroda
55,HDFCLIFE,HDFC Life Insurance Company Limited,HDFCLIFE | HDFC Life Insurance Company Limited
56,ABB,ABB India Limited,ABB | ABB India Limited
57,BPCL,Bharat Petroleum Corporation Limited,BPCL | Bharat Petroleum Corporation Limited
58,PFC,Power Finance Corporation Limited,PFC | Power Finance Corporation Limited
59,GODREJCP,Godrej Consumer Products Limited,GODREJCP | Godrej Consumer Products Limited
60,TATAPOWER,Tata Power Company Limited,TATAPOWER | Tata Power Company Limited
61,HINDALCO,Hindalco Industries Limited,HINDALCO | Hindalco Industries Limited
62,HINDZINC,Hindustan Zinc Limited,HINDZINC | Hindustan Zinc Limited
63,TECHM,Tech Mahindra Limited,TECHM | Tech Mahindra Limited
64,AMBUJACEM,Ambuja Cements Limited,AMBUJACEM | Ambuja Cements Limited
65,INDUSINDBK,IndusInd Bank Limited,INDUSINDBK | IndusInd Bank Limited
66,CIPLA,Cipla Limited,CIPLA | Cipla Limited
67,GAIL,GAIL (India) Limited,GAIL | GAIL (India) Limited
68,RECLTD,REC Limited,RECLTD | REC Limited
69,BRITANNIA,Britannia Industries Limited,BRITANNIA | Britannia Industries Limited
70,UNIONBANK,Union Bank of India,UNIONBANK | Union Bank of India
71,ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL | Adani Energy Solutions Limited
72,IOB,Indian Overseas Bank,IOB | Indian Overseas Bank
73,LODHA,Macrotech Developers Limited,LODHA | Macrotech Developers Limited
74,EICHERMOT,Eicher Motors Limited,EICHERMOT | Eicher Motors Limited
75,CANBK,Canara Bank,CANBK | Canara Bank
76,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM | TATA CONSUMER PRODUCTS LIMITED
77,DRREDDY,Dr. Reddy's Laboratories Limited,DRREDDY | Dr. Reddy's Laboratories Limited
78,TVSMOTOR,TVS Motor Company Limited,TVSMOTOR | TVS Motor Company Limited
79,ZYDUSLIFE,Zydus Lifesciences Limited,ZYDUSLIFE | Zydus Lifesciences Limited
80,ATGL,Adani Total Gas Limited,ATGL | Adani Total Gas Limited
81,VEDL,Vedanta Limited,VEDL | Vedanta Limited
82,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,CHOLAFIN | Cholamandalam Investment and Finance Company Limited
83,HAVELLS,Havells India Limited,HAVELLS | Havells India Limited
84,HEROMOTOCO,Hero MotoCorp Limited,HEROMOTOCO | Hero MotoCorp Limited
85,DABUR,Dabur India Limited,DABUR | Dabur India Limited
86,SHREECEM,SHREE CEMENT LIMITED,SHREECEM | SHREE CEMENT LIMITED
87,MANKIND,Mankind Pharma Limited,MANKIND | Mankind Pharma Limited
88,BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG | Bajaj Holdings & Investment Limited
89,DIVISLAB,Divi's Laboratories Limited,DIVISLAB | Divi's Laboratories Limited
90,APOLLOHOSP,Apollo Hospitals Enterprise Limited,APOLLOHOSP | Apollo Hospitals Enterprise Limited
91,NHPC,NHPC Limited,NHPC | NHPC Limited
92,SHRIRAMFIN,Shriram Finance Limited,SHRIRAMFIN | Shriram Finance Limited
93,BOSCHLTD,Bosch Limited,BOSCHLTD | Bosch Limited
94,TORNTPHARM,Torrent Pharmaceuticals Limited,TORNTPHARM | Torrent Pharmaceuticals Limited
95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,ICICIPRULI | ICICI Prudential Life Insurance Company Limited
96,IDBI,IDBI Bank Limited,IDBI | IDBI Bank Limited
97,JSWENERGY,JSW Energy Limited,JSWENERGY | JSW Energy Limited
98,JINDALSTEL,Jindal Steel & Power Limited,JINDALSTEL | Jindal Steel & Power Limited
99,BHEL,Bharat Heavy Electricals Limited,BHEL | Bharat Heavy Electricals Limited
100,INDHOTEL,The Indian Hotels Company Limited,INDHOTEL | The Indian Hotels Company Limited
101,CUMMINSIND,Cummins India Limited,CUMMINSIND | Cummins India Limited
102,ICICIGI,ICICI Lombard General Insurance Company Limited,ICICIGI | ICICI Lombard General Insurance Company Limited
103,CGPOWER,CG Power and Industrial Solutions Limited,CGPOWER | CG Power and Industrial Solutions Limited
104,MCDOWELL-N,United Spirits Limited,MCDOWELL-N | United Spirits Limited
105,HDFCAMC,HDFC Asset Management Company Limited,HDFCAMC | HDFC Asset Management Company Limited
106,MAXHEALTH,Max Healthcare Institute Limited,MAXHEALTH | Max Healthcare Institute Limited
107,SOLARINDS,Solar Industries India Limited,SOLARINDS | Solar Industries India Limited
108,MOTHERSON,Samvardhana Motherson International Limited,MOTHERSON | Samvardhana Motherson International Limited
109,INDUSTOWER,Indus Towers Limited,INDUSTOWER | Indus Towers Limited
110,POLYCAB,Polycab India Limited,POLYCAB | Polycab India Limited
111,OFSS,Oracle Financial Services Software Limited,OFSS | Oracle Financial Services Software Limited
112,SRF,SRF Limited,SRF | SRF Limited
113,IRCTC,Indian Railway Catering And Tourism Corporation Limited,IRCTC | Indian Railway Catering And Tourism Corporation Limited
114,COLPAL,Colgate Palmolive (India) Limited,COLPAL | Colgate Palmolive (India) Limited
115,LUPIN,Lupin Limited,LUPIN | Lupin Limited
116,NAUKRI,Info Edge (India) Limited,NAUKRI | Info Edge (India) Limited
117,TIINDIA,Tube Investments of India Limited,TIINDIA | Tube Investments of India Limited
118,INDIANB,Indian Bank,INDIANB | Indian Bank
119,HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO | Hindustan Petroleum Corporation Limited
120,BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT | Berger Paints (I) Limited
121,YESBANK,Yes Bank Limited,YESBANK | Yes Bank Limited
122,TORNTPOWER,Torrent Power Limited,TORNTPOWER | Torrent Power Limited
123,OIL,Oil India Limited,OIL | Oil India Limited
124,SBICARD,SBI Cards and Payment Services Limited,SBICARD | SBI Cards and Payment Services Limited
125,IDEA,Vodafone Idea Limited,IDEA | Vodafone Idea Limited
126,MARICO,Marico Limited,MARICO | Marico Limited
127,GODREJPROP,Godrej Properties Limited,GODREJPROP | Godrej Properties Limited
128,AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA | Aurobindo Pharma Limited
129,UCOBANK,UCO Bank,UCOBANK | UCO Bank
130,BANKINDIA,Bank of India,BANKINDIA | Bank of India
131,PERSISTENT,Persistent Systems Limited,PERSISTENT | Persistent Systems Limited
132,MUTHOOTFIN,Muthoot Finance Limited,MUTHOOTFIN | Muthoot Finance Limited
133,NMDC,NMDC Limited,NMDC | NMDC Limited
134,ALKEM,Alkem Laboratories Limited,ALKEM | Alkem Laboratories Limited
135,PIIND,PI Industries Limited,PIIND | PI Industries Limited
136,LTTS,L&T Technology Services Limited,LTTS | L&T Technology Services Limited
137,GICRE,General Insurance Corporation of India,GICRE | General Insurance Corporation of India
138,TATACOMM,Tata Communications Limited,TATACOMM | Tata Communications Limited
139,JSL,Jindal Stainless Limited,JSL | Jindal Stainless Limited
140,MRF,MRF Limited,MRF | MRF Limited
141,SAIL,Steel Authority of India Limited,SAIL | Steel Authority of India Limited
142,PGHH,Procter & Gamble Hygiene and Health Care Limited,PGHH | Procter & Gamble Hygiene and Health Care Limited
143,SUZLON,Suzlon Energy Limited,SUZLON | Suzlon Energy Limited
144,LINDEINDIA,Linde India Limited,LINDEINDIA | Linde India Limited
145,SUPREMEIND,Supreme Industries Limited,SUPREMEIND | Supreme Industries Limited
146,CONCOR,Container Corporation of India Limited,CONCOR | Container Corporation of India Limited
147,OBEROIRLTY,Oberoi Realty Limited,OBEROIRLTY | Oberoi Realty Limited
148,ASTRAL,Astral Limited,ASTRAL | Astral Limited
149,IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB | IDFC First Bank Limited
150,RVNL,Rail Vikas Nigam Limited,RVNL | Rail Vikas Nigam Limited
151,BHARATFORG,Bharat Forge Limited,BHARATFORG | Bharat Forge Limited
152,CENTRALBK,Central Bank of India,CENTRALBK | Central Bank of India
153,JSWINFRA,JSW Infrastructure Limited,JSWINFRA | JSW Infrastructure Limited
154,POLICYBZR,PB Fintech Limited,POLICYBZR | PB Fintech Limited
155,ASHOKLEY,Ashok Leyland Limited,ASHOKLEY | Ashok Leyland Limited
156,THERMAX,Thermax Limited,THERMAX | Thermax Limited
157,PHOENIXLTD,The Phoenix Mills Limited,PHOENIXLTD | The Phoenix Mills Limited
158,GMRINFRA,GMR Airports Infrastructure Limited,GMRINFRA | GMR Airports Infrastructure Limited
159,TATAELXSI,Tata Elxsi Limited,TATAELXSI | Tata Elxsi Limited
160,PATANJALI,Patanjali Foods Limited,PATANJALI | Patanjali Foods Limited
161,SJVN,SJVN Limited,SJVN | SJVN Limited
162,PRESTIGE,Prestige Estates Projects Limited,PRESTIGE | Prestige Estates Projects Limited
163,ACC,ACC Limited,ACC | ACC Limited
164,NYKAA,FSN E-Commerce Ventures Limited,NYKAA | FSN E-Commerce Ventures Limited
165,SUNDARMFIN,Sundaram Finance Limited,SUNDARMFIN | Sundaram Finance Limited
166,UBL,United Breweries Limited,UBL | United Breweries Limited
167,ABCAPITAL,Aditya Birla Capital Limited,ABCAPITAL | Aditya Birla Capital Limited
168,MPHASIS,MphasiS Limited,MPHASIS | MphasiS Limited
169,BALKRISIND,Balkrishna Industries Limited,BALKRISIND | Balkrishna Industries Limited
170,DIXON,Dixon Technologies (India) Limited,DIXON | Dixon Technologies (India) Limited
171,MAHABANK,Bank of Maharashtra,MAHABANK | Bank of Maharashtra
172,KALYANKJIL,Kalyan Jewellers India Limited,KALYANKJIL | Kalyan Jewellers India Limited
173,SCHAEFFLER,Schaeffler India Limited,SCHAEFFLER | Schaeffler India Limited
174,AWL,Adani Wilmar Limited,AWL | Adani Wilmar Limited
175,APLAPOLLO,APL Apollo Tubes Limited,APLAPOLLO | APL Apollo Tubes Limited
176,TATATECH,Tata Technologies Limited,TATATECH | Tata Technologies Limited
177,SONACOMS,Sona BLW Precision Forgings Limited,SONACOMS | Sona BLW Precision Forgings Limited
178,KPITTECH,KPIT Technologies Limited,KPITTECH | KPIT Technologies Limited
179,FACT,Fertilizers and Chemicals Travancore Limited,FACT | Fertilizers and Chemicals Travancore Limited
180,PSB,Punjab & Sind Bank,PSB | Punjab & Sind Bank
181,PETRONET,Petronet LNG Limited,PETRONET | Petronet LNG Limited
182,L&TFH,L&T Finance Holdings Limited,L&TFH | L&T Finance Holdings Limited
183,UNOMINDA,UNO Minda Limited,UNOMINDA | UNO Minda Limited
184,PAGEIND,Page Industries Limited,PAGEIND | Page Industries Limited
185,MRPL,Mangalore Refinery and Petrochemicals Limited,MRPL | Mangalore Refinery and Petrochemicals Limited
186,AUBANK,AU Small Finance Bank Limited,AUBANK | AU Small Finance Bank Limited
187,MAZDOCK,Mazagon Dock Shipbuilders Limited,MAZDOCK | Mazagon Dock Shipbuilders Limited
188,HUDCO,Housing & Urban Development Corporation Limited,HUDCO | Housing & Urban Development Corporation Limited
189,GUJGASLTD,Gujarat Gas Limited,GUJGASLTD | Gujarat Gas Limited
190,NIACL,The New India Assurance Company Limited,NIACL | The New India Assurance Company Limited
191,CRISIL,CRISIL Limited,CRISIL | CRISIL Limited
192,AIAENG,AIA Engineering Limited,AIAENG | AIA Engineering Limited
193,FEDERALBNK,The Federal Bank  Limited,FEDERALBNK | The Federal Bank  Limited
194,IREDA,Indian Renewable Energy Development Agency Limited,IREDA | Indian Renewable Energy Development Agency Limited
195,VOLTAS,Voltas Limited,VOLTAS | Voltas Limited
196,DALBHARAT,Dalmia Bharat Limited,DALBHARAT | Dalmia Bharat Limited
197,POONAWALLA,Poonawalla Fincorp Limited,POONAWALLA | Poonawalla Fincorp Limited
198,MEDANTA,Global Health Limited,MEDANTA | Global Health Limited
199,IRB,IRB Infrastructure Developers Limited,IRB | IRB Infrastructure Developers Limited
200,3MINDIA,3M India Limited,3MINDIA | 3M India Limited
201,MFSL,Max Financial Services Limited,MFSL | Max Financial Services Limited
202,M&MFIN,Mahindra & Mahindra Financial Services Limited,M&MFIN | Mahindra & Mahindra Financial Services Limited
203,UPL,UPL Limited,UPL | UPL Limited
204,HONAUT,Honeywell Automation India Limited,HONAUT | Honeywell Automation India Limited
205,BSE,BSE Limited,BSE | BSE Limited
206,FLUOROCHEM,Gujarat Fluorochemicals Limited,FLUOROCHEM | Gujarat Fluorochemicals Limited
207,COFORGE,Coforge Limited,COFORGE | Coforge Limited
208,LICHSGFIN,LIC Housing Finance Limited,LICHSGFIN | LIC Housing Finance Limited
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,GLAXO | GlaxoSmithKline Pharmaceuticals Limited
210,DELHIVERY,Delhivery Limited,DELHIVERY | Delhivery Limited
211,BDL,Bharat Dynamics Limited,BDL | Bharat Dynamics Limited
212,STARHEALTH,Star Health and Allied Insurance Company Limited,STARHEALTH | Star Health and Allied Insurance Company Limited
213,FORTIS,Fortis Healthcare Limited,FORTIS | Fortis Healthcare Limited
214,BIOCON,Biocon Limited,BIOCON | Biocon Limited
215,COROMANDEL,Coromandel International Limited,COROMANDEL | Coromandel International Limited
216,NLCINDIA,NLC India Limited,NLCINDIA | NLC India Limited
217,TATAINVEST,Tata Investment Corporation Limited,TATAINVEST | Tata Investment Corporation Limited
218,JKCEMENT,JK Cement Limited,JKCEMENT | JK Cement Limited
219,IPCALAB,IPCA Laboratories Limited,IPCALAB | IPCA Laboratories Limited
220,METROBRAND,Metro Brands Limited,METROBRAND | Metro Brands Limited
221,KEI,KEI Industries Limited,KEI | KEI Industries Limited
222,ESCORTS,Escorts Kubota Limited,ESCORTS | Escorts Kubota Limited
223,LLOYDSME,Lloyds Metals And Energy Limited,LLOYDSME | Lloyds Metals And Energy Limited
224,GLAND,Gland Pharma Limited,GLAND | Gland Pharma Limited
225,IGL,Indraprastha Gas Limited,IGL | Indraprastha Gas Limited
226,NAM-INDIA,Nippon Life India Asset Management Limited,NAM-INDIA | Nippon Life India Asset Management Limited
227,APOLLOTYRE,Apollo Tyres Limited,APOLLOTYRE | Apollo Tyres Limited
228,JUBLFOOD,Jubilant Foodworks Limited,JUBLFOOD | Jubilant Foodworks Limited
229,POWERINDIA,Hitachi Energy India Limited,POWERINDIA | Hitachi Energy India Limited
230,MSUMI,Motherson Sumi Wiring India Limited,MSUMI | Motherson Sumi Wiring India Limited
231,BANDHANBNK,Bandhan Bank Limited,BANDHANBNK | Bandhan Bank Limited
232,DEEPAKNTR,Deepak Nitrite Limited,DEEPAKNTR | Deepak Nitrite Limited
233,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA | ZF Commercial Vehicle Control Systems India Limited
234,AJANTPHARM,Ajanta Pharma Limited,AJANTPHARM | Ajanta Pharma Limited
235,KPRMILL,K.P.R. Mill Limited,KPRMILL | K.P.R. Mill Limited
236,SYNGENE,Syngene International Limited,SYNGENE | Syngene International Limited
237,EIHOTEL,EIH Limited,EIHOTEL | EIH Limited
238,APARINDS,Apar Industries Limited,APARINDS | Apar Industries Limited
239,NATIONALUM,National Aluminium Company Limited,NATIONALUM | National Aluminium Company Limited
240,TATACHEM,Tata Chemicals Limited,TATACHEM | Tata Chemicals Limited
241,GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK | Glenmark Pharmaceuticals Limited
242,HINDCOPPER,Hindustan Copper Limited,HINDCOPPER | Hindustan Copper Limited
243,GODREJIND,Godrej Industries Limited,GODREJIND | Godrej Industries Limited
244,NH,Narayana Hrudayalaya Ltd.,NH | Narayana Hrudayalaya Ltd.
245,BLUESTARCO,Blue Star Limited,BLUESTARCO | Blue Star Limited
246,EXIDEIND,Exide Industries Limited,EXIDEIND | Exide Industries Limited
247,ENDURANCE,Endurance Technologies Limited,ENDURANCE | Endurance Technologies Limited
248,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM | JB Chemicals & Pharmaceuticals Limited
249,PAYTM,One 97 Communications Limited,PAYTM | One 97 Communications Limited
250,ANGELONE,Angel One Limited,ANGELONE | Angel One Limited
251,MOTILALOFS,Motilal Oswal Financial Services Limited,MOTILALOFS | Motilal Oswal Financial Services Limited
252,ITI,ITI Limited,ITI | ITI Limited
253,360ONE,360 ONE WAM LIMITED,360ONE | 360 ONE WAM LIMITED
254,CARBORUNIV,Carborundum Universal Limited,CARBORUNIV | Carborundum Universal Limited
255,AARTIIND,Aarti Industries Limited,AARTIIND | Aarti Industries Limited
256,SUNTV,Sun TV Network Limited,SUNTV | Sun TV Network Limited
257,KIOCL,KIOCL Limited,KIOCL | KIOCL Limited
258,ISEC,ICICI Securities Limited,ISEC | ICICI Securities Limited
259,RADICO,Radico Khaitan Limited,RADICO | Radico Khaitan Limited
260,SUNDRMFAST,Sundram Fasteners Limited,SUNDRMFAST | Sundram Fasteners Limited
261,CREDITACC,CREDITACCESS GRAMEEN LIMITED,CREDITACC | CREDITACCESS GRAMEEN LIMITED
262,COCHINSHIP,Cochin Shipyard Limited,COCHINSHIP | Cochin Shipyard Limited
263,HATSUN,Hatsun Agro Product Limited,HATSUN | Hatsun Agro Product Limited
264,MANYAVAR,Vedant Fashions Limited,MANYAVAR | Vedant Fashions Limited
265,CYIENT,Cyient Limited,CYIENT | Cyient Limited
266,GET&D,GE T&D India Limited,GET&D | GE T&D India Limited
267,BRIGADE,Brigade Enterprises Limited,BRIGADE | Brigade Enterprises Limited
268,TIMKEN,Timken India Limited,TIMKEN | Timken India Limited
269,NBCC,NBCC (India) Limited,NBCC | NBCC (India) Limited
270,JBMA,JBM Auto Limited,JBMA | JBM Auto Limited
271,GILLETTE,Gillette India Limited,GILLETTE | Gillette India Limited
272,KANSAINER,Kansai Nerolac Paints Limited,KANSAINER | Kansai Nerolac Paints Limited
273,LAURUSLABS,Laurus Labs Limited,LAURUSLABS | Laurus Labs Limited
274,GRINDWELL,Grindwell Norton Limited,GRINDWELL | Grindwell Norton Limited
275,FIVESTAR,Five-Star Business Finance Limited,FIVESTAR | Five-Star Business Finance Limited
276,SWANENERGY,Swan Energy Limited,SWANENERGY | Swan Energy Limited
277,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,CHOLAHLDNG | Cholamandalam Financial Holdings Limited
278,IRCON,Ircon International Limited,IRCON | Ircon International Limited
279,SKFINDIA,SKF India Limited,SKFINDIA | SKF India Limited
280,BSOFT,BIRLASOFT LIMITED,BSOFT | BIRLASOFT LIMITED
281,ASTERDM,Aster DM Healthcare Limited,ASTERDM | Aster DM Healthcare Limited
282,RELAXO,Relaxo Footwears Limited,RELAXO | Relaxo Footwears Limited
283,SONATSOFTW,Sonata Software Limited,SONATSOFTW | Sonata Software Limited
284,GSPL,Gujarat State Petronet Limited,GSPL | Gujarat State Petronet Limited
285,RATNAMANI,Ratnamani Metals & Tubes Limited,RATNAMANI | Ratnamani Metals & Tubes Limited
286,ABFRL,Aditya Birla Fashion and Retail Limited,ABFRL | Aditya Birla Fashion and Retail Limited
287,APLLTD,Alembic Pharmaceuticals Limited,APLLTD | Alembic Pharmaceuticals Limited
288,PFIZER,Pfizer Limited,PFIZER | Pfizer Limited
289,RAMCOCEM,The Ramco Cements Limited,RAMCOCEM | The Ramco Cements Limited
290,SIGNATURE,Signatureglobal (India) Limited,SIGNATURE | Signatureglobal (India) Limited
291,PEL,Piramal Enterprises Limited,PEL | Piramal Enterprises Limited
292,ELGIEQUIP,Elgi Equipments Limited,ELGIEQUIP | Elgi Equipments Limited
293,LALPATHLAB,Dr. Lal Path Labs Ltd.,LALPATHLAB | Dr. Lal Path Labs Ltd.
294,EMAMILTD,Emami Limited,EMAMILTD | Emami Limited
295,SANOFI,Sanofi India Limited,SANOFI | Sanofi India Limited
296,JYOTICNC,Jyoti CNC Automation Limited,JYOTICNC | Jyoti CNC Automation Limited
297,TRIDENT,Trident Limited,TRIDENT | Trident Limited
298,CASTROLIND,Castrol India Limited,CASTROLIND | Castrol India Limited
299,KAJARIACER,Kajaria Ceramics Limited,KAJARIACER | Kajaria Ceramics Limited
300,KAYNES,Kaynes Technology India Limited,KAYNES | Kaynes Technology India Limited
301,CENTURYTEX,Century Textiles & Industries Limited,CENTURYTEX | Century Textiles & Industries Limited
302,CHALET,Chalet Hotels Limited,CHALET | Chalet Hotels Limited
303,DEVYANI,Devyani International Limited,DEVYANI | Devyani International Limited
304,CDSL,Central Depository Services (India) Limited,CDSL | Central Depository Services (India) Limited
305,KEC,KEC International Limited,KEC | KEC International Limited
306,SCHNEIDER,Schneider Electric Infrastructure Limited,SCHNEIDER | Schneider Electric Infrastructure Limited
307,IDFC,IDFC Limited,IDFC | IDFC Limited
308,BATAINDIA,Bata India Limited,BATAINDIA | Bata India Limited
309,CIEINDIA,CIE Automotive India Limited,CIEINDIA | CIE Automotive India Limited
310,KPIL,Kalpataru Projects International Limited,KPIL | Kalpataru Projects International Limited
311,RRKABEL,R R Kabel Limited,RRKABEL | R R Kabel Limited
312,SUMICHEM,Sumitomo Chemical India Limited,SUMICHEM | Sumitomo Chemical India Limited
313,NATCOPHARM,Natco Pharma Limited,NATCOPHARM | Natco Pharma Limited
314,SUVENPHAR,Suven Pharmaceuticals Limited,SUVENPHAR | Suven Pharmaceuticals Limited
315,CROMPTON,Crompton Greaves Consumer Electricals Limited,CROMPTON | Crompton Greaves Consumer Electricals Limited
316,TRITURBINE,Triveni Turbine Limited,TRITURBINE | Triveni Turbine Limited
317,PPLPHARMA,Piramal Pharma Limited,PPLPHARMA | Piramal Pharma Limited
318,INOXWIND,Inox Wind Limited,INOXWIND | Inox Wind Limited
319,ACE,Action Construction Equipment Limited,ACE | Action Construction Equipment Limited
320,ATUL,Atul Limited,ATUL | Atul Limited
321,CGCL,Capri Global Capital Limited,CGCL | Capri Global Capital Limited
322,TVSHLTD,TVS Holdings Limited,TVSHLTD | TVS Holdings Limited
323,SHYAMMETL,Shyam Metalics and Energy Limited,SHYAMMETL | Shyam Metalics and Energy Limited
324,NUVAMA,Nuvama Wealth Management Limited,NUVAMA | Nuvama Wealth Management Limited
325,KIMS,Krishna Institute of Medical Sciences Limited,KIMS | Krishna Institute of Medical Sciences Limited
326,CELLO,Cello World Limited,CELLO | Cello World Limited
327,PNBHOUSING,PNB Housing Finance Limited,PNBHOUSING | PNB Housing Finance Limited
328,REDINGTON,Redington Limited,REDINGTON | Redington Limited
329,LAXMIMACH,Lakshmi Machine Works Limited,LAXMIMACH | Lakshmi Machine Works Limited
330,JYOTHYLAB,Jyothy Labs Limited,JYOTHYLAB | Jyothy Labs Limited
331,CESC,CESC Limited,CESC | CESC Limited
332,GODFRYPHLP,Godfrey Phillips India Limited,GODFRYPHLP | Godfrey Phillips India Limited
333,NSLNISP,NMDC Steel Limited,NSLNISP | NMDC Steel Limited
334,RITES,RITES Limited,RITES | RITES Limited
335,CONCORDBIO,Concord Biotech Limited,CONCORDBIO | Concord Biotech Limited
336,INDIAMART,Indiamart Intermesh Limited,INDIAMART | Indiamart Intermesh Limited
337,AEGISCHEM,Aegis Logistics Limited,AEGISCHEM | Aegis Logistics Limited
338,OLECTRA,Olectra Greentech Limited,OLECTRA | Olectra Greentech Limited
339,WHIRLPOOL,Whirlpool of India Limited,WHIRLPOOL | Whirlpool of India Limited
340,ANANDRATHI,Anand Rathi Wealth Limited,ANANDRATHI | Anand Rathi Wealth Limited
341,NAVINFLUOR,Navin Fluorine International Limited,NAVINFLUOR | Navin Fluorine International Limited
342,JWL,Jupiter Wagons Limited,JWL | Jupiter Wagons Limited
343,APTUS,Aptus Value Housing Finance India Limited,APTUS | Aptus Value Housing Finance India Limited
344,FINCABLES,Finolex Cables Limited,FINCABLES | Finolex Cables Limited
345,FINPIPE,Finolex Industries Limited,FINPIPE | Finolex Industries Limited
